City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
403,Norwich,GB,52.6278,1.2983,59.18,79,0,8.05,clear sky
404,Aripuana,BR,-9.1667,-60.6333,77.2,53,84,1.32,broken clouds
405,Jarocin,PL,51.9727,17.5026,73.06,44,1,9.98,clear sky
406,Port Lincoln,AU,-34.7333,135.8667,56.26,70,9,22.39,clear sky
407,Haikou,CN,20.0458,110.3417,86.2,67,100,1.3,overcast clouds
408,Bouna,CI,9.2667,-3.0,67.59,98,92,4.36,overcast clouds
409,Mahon,ES,39.8885,4.2658,77.56,88,0,5.75,clear sky
410,Langsa,ID,4.4683,97.9683,84.04,67,100,2.13,overcast clouds
411,Nara,JP,34.6851,135.8049,92.5,41,55,5.64,broken clouds
412,Masumbwe,TZ,-3.6333,32.1833,68.83,51,5,9.28,clear sky
413,Lalibela,ET,12.0333,39.0333,60.13,83,92,3.29,light rain
414,Bafang,CM,5.1563,10.1788,61.83,97,94,2.39,overcast clouds
415,Guangyuan,CN,32.442,105.823,92.91,54,3,5.57,clear sky
416,Portland,US,45.5234,-122.6762,66.42,69,0,5.75,clear sky
417,Oum Hadjer,TD,13.2954,19.6966,77.0,70,100,3.33,overcast clouds
418,Sungaipenuh,ID,-2.0833,101.3833,71.76,79,100,2.48,overcast clouds
419,Roald,NO,62.5833,6.1333,56.16,76,40,12.66,scattered clouds
420,Salamiyah,SY,35.0113,37.0532,90.79,22,3,9.28,moderate rain
421,Ixtapa,MX,20.7,-105.2,85.23,79,100,0.0,overcast clouds
422,Hauge,NO,58.3436,6.2812,55.69,74,6,11.59,clear sky
423,Tecoanapa,MX,16.5167,-98.75,77.97,86,45,3.42,scattered clouds
424,Petrovskoye,RU,57.0104,39.2693,75.36,56,88,5.93,overcast clouds
425,Log,RU,49.4844,43.8613,86.5,27,89,13.04,overcast clouds
426,Areia Branca,BR,-4.9561,-37.1369,72.07,84,6,10.25,clear sky
427,Ketchikan,US,55.3422,-131.6461,60.78,82,75,4.61,broken clouds
428,Korla,CN,41.7597,86.1469,94.59,20,15,3.4,few clouds
429,Una,IN,20.8167,71.0333,80.13,84,100,5.12,light rain
430,Fuerte Olimpo,PY,-21.0415,-57.8738,68.14,75,100,7.81,overcast clouds
431,Mayumba,GA,-3.432,10.6554,69.78,89,99,5.3,overcast clouds
432,Salym,RU,60.0625,71.4789,79.56,41,39,6.62,scattered clouds
433,Okato,NZ,-39.2,173.8833,54.18,82,94,8.01,overcast clouds
434,Nezhinka,RU,51.7676,55.3694,80.2,41,0,8.99,clear sky
435,Gizo,SB,-8.103,156.8419,84.9,61,76,3.24,broken clouds
436,Leopoldshohe,DE,52.0125,8.6983,63.63,93,93,6.55,moderate rain
437,Venice,US,27.0998,-82.4543,78.98,97,0,4.61,clear sky
438,Kampot,KH,10.6167,104.1833,84.25,80,100,8.05,overcast clouds
439,Waitati,NZ,-45.75,170.5667,58.8,43,100,17.6,overcast clouds
440,Emerald,AU,-23.5333,148.1667,85.33,46,2,10.45,clear sky
441,Asau,RO,46.4333,26.4,72.28,56,0,3.62,clear sky
442,Nan,TH,18.8333,100.6667,85.68,63,100,3.0,overcast clouds
